"","site","date","temperature (degrees C)","Spec_Cond (mS)","DO_sat (% sat)","DO (mg/L)","pH (pH)","ORP (mV)","Turbidity (NTU)","Chlor (ug/L)","SSC (mg/L)","Alkalinity (mg CaCO3/L)","DOC_R5 (mg/L)","DOC_Awberc (mg/L)","TOC_R5 (mg/L)","TOC_Awberc (mg/L)","Fluoride (mg/L)","Chloride (mg/L)","Bromide (mg/L)","Nitrate (mg/L)","Orthophosphate (mg/L)","Sulfate (mg/L)","Ammoniacal_nitrogen (mg/L)","DIN (mg/L)","TKN (mg/L)","TDP (mg/L)","TP (mg/L)","Aluminum_dissolved","Calcium (mg/L)","Copper_dissolved (ug/L)","Iron_dissolved (mg/L)","Magnesium (mg/L)","Manganese_dissolved (mg/L)","Potassium (mg/L)","Sodium (mg/L)","Zinc_dissolved (ug/L)","Aluminum_total (mg/L)","Copper_total (mg/L)","Iron_total (mg/L)","Manganese_total (mg/L)","Zinc_total (ug/L)","Flow_condition"
"781","ROA",2008-07-09 11:30:00,"21.16","0.822",76.3,6.77,7.8,266,933.8,45.1,"33481.36",NA,5.8,NA,"32.6",NA,NA,93.9,"0.096","1.62","0.79",55.3,"nd","0.3","3.22","0.21","2.99","0.687","76.6","3.5","0.772",12.7,"0.0548","3.6",69.6,"7.9","24.5","28.9","35.6","1.05","146","Storm"
"782","ROA",2008-07-09 13:00:00,"21.25","0.8",84.9,7.51,7.88,317,15.6,4.2,"28.22581",NA,5.3,NA,"5.6",NA,NA,90.7,"0.089","2.26","0.74",53.8,"nd","0.31","0.591","0.2","0.29","nd","74.8","2.4","0.0325",12.4,"0.0146","3.61",67.3,"nd","1.03","3.04","1.17","0.0542","12.5","Storm"
"783","ROA",2008-07-09 14:30:00,"21.4","0.784",90.2,7.96,7.95,307,20.5,3.6,"17.09402",NA,4.7,NA,"5",NA,NA,89.7,"0.072","3.35","0.58",53.9,"nd","0.34","0.502","0.2","0.26","nd","74.6","2.2","0.0126",12.5,"0.0114","3.58",67.1,"nd","0.749","3.17","0.832","0.0447","6.69","Storm"
"784","ROA",2008-11-13 21:00:00,"8.26","0.742",72.6,8.52,7.53,205,3.1,4.7,"0","160",6.2,NA,"6.6",NA,NA,84.2,"0.069","0.055","0.64",83.5,"0.05","nd","0.304","0.2","0.24","nd","68.3","2.6","0.0262",13.4,"0.0145","4.86",62.7,"9.4","0.199","3.59","0.24","0.023","11.5","Storm"
"785","ROA",2008-11-13 01:30:00,"8.45","0.73",74.7,8.73,7.55,209,4.1,6,"0","160",9.2,NA,"9.4",NA,NA,82.3,"0.062","nd","0.88",80.8,"0.05","nd","nd","0.29","nd","nd","66.4","7","0.0387",13.6,"0.0198","5.93",61.4,"10.2","0.167","4.14","0.216","0.0269","8.86","Storm"
"786","ROA",2008-11-13 06:00:00,"8.72","0.749",80.9,9.39,7.63,214,5.9,6.9,"0.53163","160",8.2,NA,"8.1",NA,NA,90.2,"0.065","nd","0.86",79.6,"nd","nd","0.937","0.28","nd","nd","66.7","7.2","0.0362",13.5,"0.0215","5.8",67.5,"8.9","0.221","9.23","0.272","0.0298","8.29","Storm"
"787","ROA",2008-12-09 14:30:00,"3.51","1.165",95,12.56,7.77,193,46.5,14.8,"58.1613508442754","120",5.4,4.998,"7.6",5.744,NA,240,"0.074","2.93","0.64",69.3,"0.59","0.66","1.56","0.21","0.43","nd","70.3","16.4","0.0499",14.8,"0.0437","4.41",130,"nd","1.71","5.04","1.94","0.236","nd","Storm"
"788","ROA",2008-12-09 17:30:00,"5.33","1.505",91.8,11.57,7.76,232,11.5,14,"9.41028858218355","100",7.7,6.355,"8.3",7.257,NA,369,"0.069","3.25","0.54",56.9,"0.78","0.71","1.56","0.2","0.45","0.0518","70.8","0.0024","0.111",14.6,"0.108","4.57",195,"nd","0.495","4.52","0.517","0.132","nd","Storm"
"789","ROA",2008-12-09 20:30:00,"5.7","1.317",89.8,11.21,7.73,243,6.1,11.4,"4.11734431292686","89",6.1,5.495,"7",6.283,NA,319,"0.057","3.28","0.49",56.4,"0.54","0.75","0.986","0.18","0.23","nd","67.4","4.6","0.0606",13.9,"0.0649","4.25",173,"nd","0.313","6.97","0.323","0.0731","nd","Storm"
"790","ROA",2008-12-10 04:00:00,"6.06","1.271",84.4,10.45,7.69,255,1.3,8.8,"2.52525252524664","110",5.2,4.864,"6.3",5.496,NA,290,"0.053","3.61","0.46",61,"0.51","0.85","0.895","0.25","0.2","nd","73","4.3","0.0265",14.5,"0.0136","4.12",146,"nd","0.117","2.57","0.157","0.0192","nd","Storm"
"791","ROA",2009-02-11 07:00:00,"6.04","1.386",97.4,12.06,7.83,207,101.6,23,"97.2803347280297","110",7.7,8.114,"13.5",7.208,NA,311,"0.051","5.18","0.33",45.7,"nd","1.2","1.4","0.13","0.53","0.0725","65.2","2.4","0.117",9.26,"0.0199","2.39",191,"15","4.01","6.03","4.24","0.241","45.3","Storm"
"792","ROA",2009-02-11 13:00:00,"7.64","1.221",100.8,12,7.96,212,29.7,13.6,"6.22406639004542","120",8.4,8.115,"7.1",7.166,NA,252,"0.045","6.14","0.3",45,"nd","1.39","0.683","0.12","0.2","0.102","63.2","8.3","0.15",8.66,"0.0175","2.2",154,"13.7","1.48","3.08","1.09","0.0329","18.4","Storm"
"793","ROA",2009-02-11 17:30:00,"7.46","1.005",95.3,11.4,7.9,206,53.8,16.2,"29.8769771529134","110",9,9.163,"9.8",7.88,NA,210,"0.036","5.94","0.34",39.5,"nd","1.31","0.854","0.15","0.3","0.146","54.3","1.5","0.197",7.42,"0.0217","2.02",125,"13","2.18","3.71","2","0.0784","27.6","Storm"
"794","ROA",2009-02-11 19:00:00,"6.99","0.95",95.5,11.56,7.86,219,54.6,11.9,"23.2172470978489","100",9.9,9.551,"10.9",8.147,NA,194,"0.032","6.02","0.36",37.6,"nd","1.33","0.841","0.18","0.35","0.119","53.4","2.4","0.181",7.17,"0.0216","2.05",119,"0.0127","2.12","3.6","1.9","0.0674","23.9","Storm"
"795","ROA",2009-02-11 22:00:00,"6.65","0.95",95.6,11.67,7.84,226,40.7,9.9,"13.3976420150122","110",9.3,9.211,"9.5",7.878,NA,182,"0.034","6.68","0.36",39.3,"nd","1.44","0.707","1.56","0.26","0.155","55.1","2.2","0.197",7.37,"0.0163","2.03",113,"12.8","2.07","2.93","1.62","0.0422","19.9","Storm"
"796","ROA",2009-03-18 21:00:00,"13.35","1.28",8.98,0.104,8.09,230,0.4,4.2,"-6.0483870967601","210",NA,4.274,NA,3.83,NA,229,"0.09","0.18","0.22",93.6,"nd","23.5","0.736","0.03","0.21","0.0478","83","3.1","0.0133",18.2,"0.0117","3.16",138,"19.9","0.0983","3.36","0.0794","0.0151","20.8","Storm"
"797","ROA",2009-03-18 22:30:00,"12.86","1.294",9.03,0.104,7.97,234,0.3,5.1,"89.8491083676368","190",NA,5.395,NA,4.826,NA,51.4,"0.075","0.72","0.24",81.5,"nd","64","1.49","0.053","0.3","0.0445","70.4","3.1","0.0248",15.2,"0.0124","2.81",121,"17.2","2.04","4.76","2.5","0.163","29.1","Storm"
"798","ROA",2009-03-19 00:00:00,"12.26","1.247",9.4,0.181,7.92,209,5.9,7,"53.3515731874117","170",NA,6.21,NA,5.474,NA,193,"0.066","1.69","0.19",75.1,"nd","26.4","1.48","0.03","0.45","0.0582","60.7","3.1","0.0435",14.5,"0.0346","2.54",113,"14.7","1.79","4.3","1.92","0.149","28.1","Storm"
"799","ROA",2009-03-19 01:30:00,"12.17","1.116",10.95,0.334,7.94,220,44.9,25.4,"25.9168704156396","160",NA,7.054,NA,5.859,NA,168,"0.055","1.82","0.17",74.4,"nd","33.6","1.43","0.07","0.19","0.0435","55.7","3.6","0.0366",12.5,"0.0194","2.32",103,"13.6","1.48","3.78","1.32","0.0698","21","Storm"
"800","ROA",2009-03-19 07:30:00,"10.36","1.021",10.64,0.154,7.63,255,12.9,10.6,"2.6160889470181","180",NA,5.259,NA,5.154,NA,188,"0.06","1.2","0.2",68.4,"nd","25.6","1.11","0.03","0.09","0.0472","2.8","2.8","0.0239",14.1,"0.008","2.3",110,"14","0.42","3.29","0.384","0.0209","16.9","Storm"
"801","ROA",2009-04-28 12:30:00,"16.6","0.909",9.46,97.3,7.54,57,3.1,3.9,"3.64298724953614","210",4,3.925,"4",4.03,NA,117,"0.058","4.46","0.49",91.6,"0.06","1.08","0.729","0.16","0.16","0.0345","91.3","1.6","0.0091",17.9,"0.0099","3.11",82.8,"21.4","0.133","nd","0.118","0.0185","21","Storm"
"802","ROA",2009-04-28 14:00:00,"16.83","0.908",9.29,96.1,7.62,57,2.8,3.4,"3.26644890341541","210",3.8,3.904,"3.5",3.751,NA,116,"0.059","4.2","0.48",86.1,"nd","1","0.606","0.16","0.14","0.134","94.3","1.76","0.122",18.4,"0.0167","3.21",85,"22.1","0.0433","1.5","0.0099","0.0126","20.6","Storm"
"803","ROA",2009-04-28 17:00:00,"16.89","0.912",8.91,92.2,7.57,61,3.4,3.2,"5.05282498852085","220",3.8,3.98,"3.7",3.94,NA,117,"0.058","3.66","0.51",84.9,"nd","0.89","0.688","0.16","0.15","0.0433","93.5","1.5","0.0099",17.9,"0.0126","3.01",83.5,"20.6","0.176","1.52","0.181","0.0226","25.6","Storm"
"804","ROA",2009-04-28 20:00:00,"16.87","0.908",8.37,86.6,7.56,59,6.5,3.8,"34.7358121330784","220",3.7,3.831,"3.4",3.655,NA,125,"0.064","2.93","0.51",84.3,"0.06","0.73","0.812","0.16","0.22","nd","91.2","1.5","0.0097",17.8,"0.0046","3.07",81.4,"21.5","0.791","2","0.948","0.0645","25.2","Storm"
"805","ROA",2009-04-28 21:30:00,"16.51","0.913",7.83,80.4,7.46,63,3.6,4.5,"5.81395348838149","220",3.6,3.873,"3.7",3.602,NA,121,"0.071","2.62","0.48",84.9,"0.29","0.66","0.753","0.16","0.15","0.0569","95.6","3.4","0.0093",18.3,"0.0106","3.1",84.5,"20.4","0.183","2.08","0.201","0.0233","23.2","Storm"
"806","ROA",2009-05-26 16:00:00,"20.94","0.924",75.1,6.69,7.76,41,-36.8,-0.4,"18.7341772152002","200",4.7,4.031,"4.5",4.139,NA,109,"0.076","1.67","0.61",71.5,"nd","0.35","0.633","0.18","0.26","0.0541","84.8","1.8","0.0101",16.4,"0.0144","3.56",70.9,"19.1","0.375","1.81","0.355","0.0344","21.9","Storm"
"807","ROA",2009-05-26 20:30:00,"20.24","0.856",72.7,6.57,7.91,35,-27.3,1,"22.2929936305779","180",6.2,6.04,"5.8",5.293,NA,98.6,"0.065","1.78","0.66",63.4,"nd","0.38","0.776","0.2","0.33","0.055","72.8","2.6","0.0245",14.6,"0.0104","3.85",63.3,"20.5","0.673","1.67","0.662","0.0417","22.2","Storm"
"808","ROA",2009-05-26 22:30:00,"19.76","0.928",79,7.2,7.81,43,-26.2,1.8,"27.2435897435832","190",5.9,5.595,"5.3",5.122,NA,112,"0.07","1.87","0.59",67.7,"nd","0.38","0.784","0.18","0.35","0.0463","78.6","4.1","0.0195",15.9,"0.0073","3.75",71.5,"18.8","0.907","2.22","0.919","0.0643","24.5","Storm"
"809","ROA",2009-05-26 04:00:00,"18.99","0.948",73.8,6.83,7.81,47,-35.4,0.9,"13.542795232943","200",4.6,4.898,"5",4.441,NA,119,"0.075","1.66","0.59",70.7,"nd","0.33","0.77","0.17","0.24","0.0602","82.1","1.8","0.013",16.5,"0.0142","3.43",76.7,"19.6","0.413","2.08","0.412","0.0359","21.9","Storm"
"810","ROA",2009-06-10 08:00:00,"18.84","0.894",70.3,6.53,8.65,109,11.2,5.2,"8.97363993269671","200",4.3,3.934,"4.1",4.154,NA,111,"0.071","1.75","0.67",60.1,"nd","0.4","0.53","0.25","0.23","nd","80.6","1.8","0.0092",15.4,"0.07","3.1",71.4,"18.1","0.261","2.13","0.326","0.11","19.9","Storm"
"811","ROA",2009-06-10 11:00:00,"18.71","0.638",90,8.38,8.8,109,257.3,40.4,"321.525885558608","140",7,6.385,"6.5",5.673,NA,146,"0.044","2.68","0.63",45.3,"nd","0.55","2.25","0.22","1.02","0.0298","53.3","2.4","0.0272",11,"0.0018","3.34",47.1,"15.2","7.48","11.3","10.9","0.832","68.9","Storm"
"812","ROA",2009-06-10 14:00:00,"19.64","0.594",85.3,7.8,8.7,113,69.2,48.3,"54.0098199672863","130",7.8,7.05,"6.5",6.34,NA,72.2,"0.039","2.01","0.54",41.3,"nd","0.4","1.23","0.17","0.36","0.0541","47.3","2.5","0.0627",9.62,"0.0042","2.76",47.8,"15.7","1.66","4.37","1.89","0.142","25.2","Storm"
"813","ROA",2009-06-10 18:30:00,"20.07","0.667",81.4,7.38,8.68,115,39.7,25.4,"33.2187857961094","140",7.1,6.402,"6.6",5.98,NA,86.2,"0.043","1.82","0.5",44.5,"nd","0.36","0.824","0.17","0.27","0.0294","53.6","2.7","0.0364",11,"0.0024","2.75",57.5,"15.9","1.12","3.39","1.19","0.0857","23.2","Storm"
"814","ROA",2009-06-10 23:00:00,"19.53","0.725",75.7,6.94,8.64,115,30.4,12,"24.1805480924243","160",6.1,5.571,"6",5.191,NA,91.6,"0.047","1.77","0.54",47.6,"nd","0.34","0.757","0.18","0.26","0.035","60.2","2.2","0.027",11.9,"0.0034","2.81",61.2,"16.1","0.896","2.81","0.962","0.0756","20.2","Storm"
"815","ROA",2009-07-29 11:00:00,"20.18","0.67",102.2,9.24,8.22,126,45.8,22.2,"41.4394765539807","150",6.5,6.841,"6.3",5.694,NA,90.5,"nd","1.2","0.49",34.8,"nd","0.32","0.865","0.2","0.31","nd","54.8","4.2","0.0521",9.41,"0.0033","2.98",67.6,"7","0.956","5.68","1.44","0.128","12.9","Storm"
"816","ROA",2009-07-29 15:30:00,"21.21","0.682",100.9,8.94,8.36,105,17.2,16.6,"36.1380798273926","160",5.3,5.856,"5.7",5.104,NA,85.6,"nd","0.97","0.46",34,"nd","0.26","0.701","0.19","0.26","nd","55","4.7","0.0245",9.39,"0.0014","3",69.2,"6.4","0.776","6.53","1.15","0.092","12.6","Storm"
"817","ROA",2009-07-29 17:00:00,"21.8","0.39",101.1,8.86,8.18,107,262,51.3,"253.521126760544","100",7.1,7.695,"7",6.429,NA,43.2,"nd","1.17","0.47",23,"nd","0.36","1.77","0.23","0.88","0.0564","35.5","6.7","0.0729",5.68,"0.0015","2.54",37.5,"7.5","7.24","14.4","11","0.541","59","Storm"
"818","ROA",2009-07-29 20:00:00,"21.51","0.484",99.1,8.73,8.17,113,88,22.2,"79.4809407948259","130",6.1,6.944,"6.3",5.843,NA,56.7,"nd","1.54","0.52",24.3,"nd","0.43","1.11","0.17","0.39","0.036","43.5","5.2","0.0558",6.87,"0.0015","2.62",49.1,"nd","2.34","9.9","3.13","0.13","22.1","Storm"
"819","ROA",2009-07-30 03:30:00,"20.15","0.659",95.2,8.62,8.16,118,20.3,8.3,"16.9581346051916","170",4.8,5.531,"5.5",5.009,NA,84.8,"nd","1.34","0.5",33.4,"nd","0.36","0.607","0.19","0.21","nd","58.7","6.5","0.0307",9.65,"0.0068","3.02",74.1,"nd","0.519","7.46","0.704","0.0461","9.08","Storm"
"820","ROA",2009-10-08 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"763.796909492298","130",8,7.941,"25.5",6.282,NA,67.1,"nd","1.21","0.8",39.1,"nd","0.32","3.99","0.33","2.73","0.0486","45.8","3.4","0.081",7.38,"0.0046","3.63",52.6,"nd","12.9","27.5","21.5","2.31","130","Storm"
"821","ROA",2009-10-08 19:00:00,"13.25","0.336",88.4,9.25,7.75,133,309.6,53,"72.6770929162774","130",7.1,6.66,"15.2",6.479,NA,31.2,"nd","2","0.59",33,"nd","0.51","1.04","0.22","0.51","0.0508","46.4","2.5","0.0824",7.02,"0.0199","3.34",36.8,"nd","2.11","4.09","2.76","0.148","19.2","Storm"
"822","ROA",2009-10-09 03:00:00,"13.32","0.279",87,9.1,7.64,129,259,42.1,"620.689655172422","67",8.8,7.828,"32",7.998,NA,15,"nd","2.1","0.81",12.3,"nd","0.53","2.54","0.29","1.97","0.167","22.9","3","0.215",3.07,"0.0065","3.3",11.2,"nd","11.3","18.8","17","0.718","84.1","Storm"
"823","ROA",2009-10-09 09:00:00,"13.88","0.322",90.4,9.33,7.72,136,146.9,33.5,"286.701208981009","82",10.1,9.422,"24.2",9.137,NA,14.7,"nd","3.17","0.87",14.2,"nd","0.72","1.77","0.37","1.28","0.629","28.9","6.1","0.739",3.64,"0.02","3.45",12.1,"8.5","6.65","13.1","8.81","0.287","43.7","Storm"
"824","ROA",2009-12-08 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"-2.16216","270",NA,4.218,NA,3.873,0.3,122,"nd","0.54","n",109,"nd","0.13","0.811","0.13","0.15","0.0654","126","2.2","0.0094",23.4,"0.0294","3.16",73.9,"27.8","nd","nd","nd","0.0324","nd","Storm"
"825","ROA",2009-12-08 19:00:00,"4.09","1.07",103.5,13.49,7.82,93,245.4,36.6,"426.47059","140",NA,10.01,NA,11.32,0.26,156,"nd","0.48","1.01",48.5,"nd","0.19","3.77","0.45","2.28","0.0801","70","2.3","0.0963",11.8,"0.0307","3.89",76.5,"23.1","7.5","1.5","11.5","1.13","84.8","Storm"
"826","ROA",2009-12-09 03:00:00,"5.86","0.424",101.4,12.65,7.76,88,65.4,20,"37.25166","130",NA,11.38,NA,10.24,0.24,48.6,"nd","4.1","0.93",34.9,"nd","1.06","0.909","0.38","0.72","0.249","54.3","4.9","0.296",7.39,"0.0379","3.51",27.5,"18.1","2.25","7.13","2.44","0.112","nd","Storm"
"827","ROA",2009-12-09 09:00:00,"6.49","0.45",100.8,12.38,7.81,87,59.7,23,"30.38674","140",NA,10.81,NA,9.83,0.24,46.9,"nd","3.56","0.87",37.7,"0.5","0.86","0.806","0.34","0.52","0.263","57.9","3.3","0.309",8,"0.0336","3.43",27.6,"19.4","2.08","nd","2.12","0.0785","nd","Storm"
"828","ROA",2010-04-08 18:00:00,"17.89","1.029",91.5,8.65,8.39,21,0.7,4.9,"39.3559928443579","300",NA,3.954,NA,4.326,NA,196,"nd","0.28","n",115,"nd","nd","0.677","0.1","0.08","0.0979","130","3","nd",23.2,"0.0174","2.85",120,"15.5","0.128","6.06","0.0511","0.0225","15.9","Storm"
"829","ROA",2010-04-09 01:30:00,"14.75","1.098",77.7,7.85,8.14,20,1.6,6,NA,"250",NA,7.572,NA,6.125,NA,163,"nd","1.11","n",86.9,"nd","0.25","1.22","0.11","0.3","0.0997","99.9","5.2","0.0244",17.5,"0.0259","2.78",98.7,"20.2","1.08","7.17","1.45","0.112","28.3","Storm"
"830","ROA",2010-04-09 04:30:00,"14.11","1.107",78.2,8.02,8.16,18,1.5,4.4,NA,"220",NA,9.769,NA,7.864,NA,170,"nd","1.38","n",69.8,"nd","0.36","1.34","0.06","0.31","0.0958","84.4","4.9","0.0429",14.7,"0.0282","2.38",104,"15.5","1.87","7.02","2.22","0.136","29.2","Storm"
"831","ROA",2010-04-09 07:30:00,"13.57","1.12",78.9,8.18,8.16,19,2,5.1,NA,"200",NA,13.36,NA,10.35,NA,142,"nd","1.28","0.43",58.8,"nd","0.31","1.53","0.12","0.7",NA,"0.155","4.3","0.161",12.1,"0.031","2.29",90.4,"17.4","4.93","10.6","6.54","0.319","49.3","Storm"
"832","URB",2005-04-19 11:23:00,"15.21","1.698",115.7,11.55,8.08,297,4.8,NA,"8","310",15.1,NA,"nd",NA,NA,273,"0.13","0.21","0.37",95.8,NA,NA,NA,"0.11",NA,"nd","161","nd","nd",30.5,"0.0113","5",162,"nd","0.325","nd","0.402","0.0298","nd","Base"
"833","URB",2005-05-26 12:17:00,"15.26","0.742",81.8,8.18,7.99,285,2.8,NA,"1.67","320",20,NA,"26",NA,NA,261,"0.15","2.01","0.61",160,"nd","0.48","0.32","0.18","0.18","nd","157","nd","nd",30.8,"0.0665","4.5",161,"nd","0.116","nd","0.154","0.0747","nd","Base"
"834","URB",2005-06-21 11:27:00,"17.8","1.783",84.4,7.98,7.77,270,3.4,NA,"6","310",4.2,NA,"4.4",NA,NA,310,"0.16","1.44","0.63",156,"0.32","0.99","0.23","0.2","0.21","nd","153","nd","0.0327",29.5,"0.0709","5.05",175,"nd","0.231","nd","0.241","0.0756","nd","Base"
"835","URB",2005-07-26 09:37:00,"24.6","1.823",51.1,4.23,7.44,199,2,NA,"12.8","290",13,NA,"15",NA,NA,326,"0.16","0.68","0.92",113,"nd","0.23","1.29","0.23","0.22","nd","126","nd","nd",23.5,"0.237","6.09",199,"nd","0.157","nd","0.199","0.25","nd","Base"
"836","URB",2005-08-16 09:23:00,"23","2.177",78.3,6.67,7.77,188,17.3,NA,"1.67","290",15,NA,"22",NA,NA,412,"0.47","0.02","0.67",86.2,"nd","0.01","0.53","0.19","0.22","nd","119","nd","nd",23,"0.112","6.85",266,"nd","0.15","nd","0.208","0.169","nd","Base"
"837","URB",2005-09-22 12:21:00,"18.6","1.632",65.9,6.13,7.7,226,2.5,NA,"1.67","260",17,NA,"20",NA,NA,282,"0.12","0.36","1.05",37.8,"nd","0.1","0.51","0.33","0.35","nd","94.6","2.94","0.0212",18.2,"0.124","5.36",198,"15.9","0.134","3.16","0.175","0.128","16.1","Base"
"838","URB",2005-10-31 10:35:00,"7.84","1.741",59.1,6.99,7.54,241,3.8,NA,"1.67","260",19,NA,"19",NA,NA,272,"0.13","1","0.93",115,"nd","0.22","0.23","0.23","0.26","nd","114","nd","0.0168",22.9,"0.0335","5.56",206,"nd","0.0972","nd","0.0836","0.0355","nd","Base"
"839","URB",2006-02-09 10:28:00,"0.65","1.517",89.6,12.79,7.73,248,2.9,NA,"1.67","280",9.6,NA,"19",NA,NA,233,"0.1","1.13","0.24",161,"nd","0.26","0.23","0.06","0.09","nd","155","2.9","nd",32.3,"0.0105","2.5",133,"15","nd","3.03","0.0332","0.0129","10.8","Base"
"840","URB",2006-03-20 09:10:00,"3.91","1.485",99.5,13.01,7.44,277,2.2,NA,"1.67","290",10.4,NA,"14.7",NA,NA,195,"0.11","0.53","0.31",148,"0.56","0.13","0.27","0.06","0.14","nd","150","2.67","nd",29.7,"0.0155","2.83",128,"11.7","0.066","2.66","0.0891","0.0176","13.6","Base"
"841","URB",2006-05-09 09:35:00,"12.17","1.551",64.5,6.89,7.74,279,5,NA,"1.67","330",20.2,NA,"22.4",NA,NA,200,"0.12","1.1","0.53",167,"nd","0.28","0.27","0.21","0.24","nd","146","2.67","nd",28.7,"0.05","3.33",120,"17","0.122","2.29","0.151","0.0584","16.9","Base"
"842","URB",2006-06-06 11:19:00,"15.02","1.445",52,5.22,7.65,153,0,NA,"15.6","330",13.6,NA,"19.2",NA,NA,254,"0.13","0.65","0.77",129,"nd","0.14","0.31","0.22","0.26","nd","130","nd","nd",26,"0.087","4.16",138,"14.9","0.164","1.84","0.14","0.0868","15.8","Base"
"843","URB",2006-07-10 12:06:00,"20.9","1.766",36.6,3.22,7.37,-3,6.2,NA,"1.67","270",7.3,NA,"18.5",NA,NA,330,"0.16","0.0033","0.85",54.2,"nd","0.01","0.47","0.24","0.26","nd","106","2.22","0.03",26.5,"0.31","6.28",210,"18.4","0.0399","1.43","0.106","0.287","41","Base"
"844","URB",2006-08-08 11:29:00,"24.01","1.743",31.4,2.63,7.68,266,0,NA,"1.67","310",13.2,NA,"17.7",NA,NA,302,"0.13","0.06","1.44",55.8,"0.12","0.16","1.18","0.51","0.63","nd","112","nd","0.0588",21,"0.884","6.08",199,"16.3","0.073","nd","0.407","0.936","16.7","Base"
"845","URB",2006-09-05 11:46:00,"17.47","1.626",63.6,6.06,7.73,112.7,3.1,NA,"nd","270",32.6,NA,"32.7",NA,NA,311,"0.44","0.73","0.88",119,"nd","0.14","0.48","0.3","0.28","0.032","115","nd","nd",22.2,"0.24","5.56",195,"33.6","0.151","nd","0.169","0.258","33.3","Base"
"846","URB",2006-10-16 10:30:00,"9","1.568",64.3,7.36,7.87,340,6,NA,"5.4","280",17.4,NA,"24.8",NA,NA,249,"0.38","0.17","0.72",138,"nd","0.04","0.322","0.26","0.3","nd","118","nd","0.026",23.8,"0.0786","4.97",164,"51.3","0.231","nd","0.213","0.087","53.5","Base"
"847","URB",2006-11-13 10:40:00,"7.48","1.34",73,8.75,7.91,338,1.6,NA,"nd","320",25.8,NA,"30.4",NA,NA,144,"0.12","nd","0.66",157,"nd","4.23","0.395","0.22","0.21","nd","142","nd","0.0238",29.3,"0.0239","3.9",93.3,"74.6","nd","nd","0.0699","0.0265","76.1","Base"
"848","URB",2006-12-05 11:15:00,"0.58","1.17",96,13.7,8.04,336,22.7,NA,"nd","310",30,NA,"37.3",NA,NA,124,"0.1","1.82","0.69",156,"0.49","0.55","2.78","0.41","0.35","nd","134","1.55","0.0232",27.7,"0.0185","3.56",68.2,"70.1","0.0932","nd","0.138","0.0261","73.4","Base"
"849","URB",2007-01-10 10:50:00,"1.76","1.065",95,13.2,8.02,330,5,NA,"10.611","290",35.2,NA,"25.5",NA,NA,105,"0.07","1.7","0.41",116,"nd","0.38","0.329","0.12","0.5","nd","128","nd","0.0209",22.7,"0.00911","2.33",61.7,"59.6","0.135","nd","0.137","0.013","62.9","Base"
"850","URB",2007-03-08 11:34:00,"1.17","2.48",105.1,14.73,7.86,262,0,NA,"nd","290",21.6,NA,"24.3",NA,NA,513,"0.13","1.59","0.25",158,"nd","0.4","nd","0.09","0.09","nd","171","2.52","nd",30.8,"0.00564","3.34",265,"36.5","0.0411","2.58","0.0441","0.00685","35.7","Base"
"851","URB",2007-04-10 11:55:00,"6.01","1.644",140.6,17.35,8.32,123.4,0.3,NA,"1.19","320",29.1,NA,"28.3",NA,NA,280,"0.12","0.22","0.25",175,"nd","0.05","nd","0.09","0.11","nd","158","nd","nd",29.7,"0.0131","2.57",139,"49.8","nd","nd","nd","0.0123","42.8","Base"
"852","URB",2007-05-09 11:07:00,"15","1.679",90.2,9.04,8.83,285.8,5.9,NA,"4.62","350",30.6,NA,"33",NA,NA,245,"0.14","1.59","0.49",168,"nd","0.35","0.173","0.14","0.16","nd","174","1.8","nd",32.3,"0.0655","3.35",144,"47.3","0.192","nd","0.131","0.056","48.5","Base"
"853","URB",2007-06-13 11:15:00,"18.4","2.102",39.8,3.68,7.69,166,7,NA,"8.161679","320",27.3,NA,"21.3",NA,NA,433,"0.17","0.36","1.28",71.6,"0.09","0.2","0.515","0.47","0.31","0.064","135","nd","0.0552",26.2,"0.843","5.48",230,"21.4","0.443","nd","0.481","0.843","18.5","Base"
"854","URB",2007-07-18 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"5.599104","280",19.4,NA,"16.5",NA,NA,411,"0.15","0.31","0.98",55.6,"0.2","0.05","0.92","0.34","0.38","nd","109","1.78","nd",20.4,"0.509","5.45",233,"8.68","0.177","1.69","0.27","0.593","14.2","Base"
"855","URB",2007-08-01 13:18:00,"22.82","2.263",62,5.28,7.91,226.9,7.4,NA,"14.34426","310",18.5,NA,"20.3",NA,NA,490,"0.16","0.15","0.91",54.2,"0.18","nd","0.578","0.34","0.44","nd","118","1.9","16.8",22.1,"1.28","5.86",266,"13.4","0.363","1.76","0.626","1.37","15.2","Base"
"856","URB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Base"
"857","URB",2007-11-05 09:52:00,"7.44","2.247",49.2,5.83,7.17,-203,1.6,NA,"4.743083","260",20,NA,"13.6",NA,NA,430,"0.12","0.15","0.55",209,"nd","0.08","0.263","0.11","0.12","nd","143","3.87","0.0498",25.1,"0.226","6.19",235,"40.9","0.0423","4.56","0.123","0.233","50.3","Base"
